iter	Passed	Remaining
400	1884	2815
401	1887	2808
402	1890	2800
403	1893	2793
404	1896	2786
405	1900	2780
406	1903	2773
407	1905	2765
408	1909	2759
409	1913	2752
410	1916	2746
411	1919	2739
412	1922	2732
413	1925	2725
414	1928	2719
415	1931	2712
416	1934	2704
417	1936	2696
418	1939	2689
419	1942	2682
420	1945	2675
421	1947	2667
422	1950	2660
423	1954	2654
424	1958	2649
425	1968	2652
426	1973	2648
427	1978	2644
428	1983	2639
429	1987	2634
430	1992	2630
431	1997	2626
432	2003	2623
433	2007	2617
434	2010	2611
435	2013	2604
436	2018	2600
437	2021	2593
438	2024	2586
439	2026	2579
440	2032	2576
441	2036	2571
442	2051	2579
443	2059	2578
444	2066	2577
445	2071	2572
446	2075	2567
447	2079	2561
448	2081	2554
449	2085	2548
450	2088	2542
451	2093	2537
452	2095	2530
453	2098	2523
454	2101	2516
455	2105	2511
456	2108	2504
457	2110	2497
458	2113	2491
459	2117	2485
460	2120	2479
461	2123	2473
462	2126	2466
463	2129	2459
464	2133	2454
465	2135	2447
466	2139	2441
467	2142	2435
468	2145	2428
469	2150	2424
470	2153	2418
471	2156	2411
472	2159	2405
473	2164	2401
474	2167	2395
475	2169	2388
476	2173	2383
477	2177	2378
478	2181	2372
479	2184	2366
480	2186	2359
481	2189	2352
482	2193	2348
483	2197	2342
484	2200	2336
485	2202	2329
486	2206	2323
487	2209	2318
488	2212	2312
489	2215	2305
490	2218	2299
491	2221	2293
492	2224	2287
493	2227	2281
494	2230	2275
495	2232	2268
496	2234	2261
497	2239	2257
498	2242	2251
499	2245	2245
500	2247	2238
501	2251	2233
502	2255	2228
503	2258	2222
504	2262	2217
505	2265	2211
506	2269	2206
507	2271	2200
508	2274	2194
509	2277	2187
510	2279	2181
511	2283	2176
512	2287	2171
513	2290	2165
514	2293	2159
515	2298	2155
516	2302	2150
517	2306	2145
518	2309	2140
519	2313	2135
520	2317	2130
521	2320	2124
522	2322	2117
523	2325	2112
524	2330	2108
525	2333	2102
526	2337	2097
527	2340	2092
528	2344	2087
529	2347	2081
530	2351	2076
531	2355	2072
532	2359	2066
533	2364	2063
534	2367	2057
535	2372	2053
536	2374	2047
537	2378	2042
538	2380	2036
539	2385	2032
540	2388	2026
541	2391	2020
542	2394	2015
543	2397	2009
544	2402	2005
545	2411	2005
546	2419	2003
547	2426	2001
548	2434	2000
549	2439	1996
550	2443	1991
551	2453	1991
552	2456	1985
553	2459	1979
554	2464	1976
555	2468	1971
556	2471	1965
557	2474	1960
558	2483	1958
559	2486	1953
560	2489	1948
561	2496	1945
562	2499	1940
563	2501	1933
564	2504	1927
565	2508	1923
566	2511	1917
567	2514	1912
568	2517	1906
569	2519	1900
570	2523	1895
571	2525	1890
572	2528	1884
573	2531	1878
574	2534	1873
575	2537	1868
576	2540	1862
577	2543	1856
578	2545	1850
579	2548	1845
580	2551	1839
581	2554	1834
582	2556	1828
583	2559	1823
584	2564	1818
585	2570	1815
586	2573	1810
587	2577	1806
588	2581	1801
589	2586	1797
590	2590	1792
591	2595	1788
592	2600	1784
593	2604	1779
594	2608	1775
595	2614	1772
596	2618	1767
597	2622	1763
598	2624	1757
599	2635	1757
600	2640	1752
601	2646	1749
602	2650	1744
603	2653	1739
604	2655	1733
605	2659	1728
606	2663	1724
607	2666	1719
608	2669	1713
609	2672	1708
610	2675	1703
611	2679	1698
612	2682	1693
613	2687	1689
614	2692	1685
615	2695	1680
616	2698	1675
617	2706	1672
618	2709	1668
619	2712	1662
620	2715	1657
621	2719	1652
622	2722	1647
623	2724	1641
624	2727	1636
625	2730	1631
626	2734	1626
627	2737	1621
628	2739	1616
629	2742	1610
630	2747	1606
631	2750	1601
632	2752	1596
633	2755	1590
634	2758	1585
635	2763	1581
636	2766	1576
637	2769	1571
638	2772	1566
639	2777	1562
640	2779	1556
641	2782	1551
642	2784	1546
643	2788	1541
644	2793	1537
645	2796	1532
646	2801	1528
647	2804	1523
648	2807	1518
649	2810	1513
650	2813	1508
651	2816	1503
652	2819	1498
653	2823	1493
654	2824	1487
655	2827	1482
656	2830	1477
657	2833	1472
658	2837	1468
659	2839	1462
660	2842	1457
661	2845	1452
662	2848	1447
663	2851	1443
664	2854	1438
665	2858	1433
666	2860	1428
667	2863	1423
668	2867	1418
669	2869	1413
670	2874	1409
671	2878	1404
672	2881	1400
673	2886	1396
674	2889	1391
675	2892	1386
676	2895	1381
677	2898	1376
678	2902	1372
679	2905	1367
680	2908	1362
681	2911	1357
682	2913	1352
683	2915	1346
684	2918	1342
685	2921	1337
686	2923	1332
687	2927	1327
688	2930	1322
689	2933	1317
690	2935	1312
691	2938	1307
692	2941	1303
693	2944	1298
694	2946	1293
695	2949	1288
696	2952	1283
697	2958	1280
698	2963	1276
699	2966	1271
700	2972	1267
701	2975	1263
702	2978	1258
703	2981	1253
704	2984	1248
705	2988	1244
706	2992	1240
707	2994	1235
708	2997	1230
709	3002	1226
710	3005	1221
711	3009	1217
712	3012	1212
713	3017	1208
714	3019	1203
715	3022	1198
716	3024	1193
717	3028	1189
718	3031	1184
719	3034	1180
720	3037	1175
721	3040	1170
722	3043	1166
723	3046	1161
724	3049	1156
725	3053	1152
726	3056	1147
727	3059	1143
728	3061	1138
729	3064	1133
730	3067	1128
731	3071	1124
732	3073	1119
733	3076	1115
734	3079	1110
735	3082	1105
736	3086	1101
737	3088	1096
738	3091	1092
739	3095	1087
740	3097	1082
741	3100	1078
742	3103	1073
743	3106	1069
744	3111	1065
745	3114	1060
746	3117	1055
747	3120	1051
748	3123	1046
749	3126	1042
750	3128	1037
751	3131	1032
752	3135	1028
753	3138	1023
754	3140	1019
755	3143	1014
756	3146	1009
757	3149	1005
758	3152	1001
759	3155	996
760	3158	991
761	3160	987
762	3164	982
763	3167	978
764	3170	973
765	3173	969
766	3176	964
767	3179	960
768	3181	955
769	3184	951
770	3187	946
771	3190	942
772	3193	937
773	3196	933
774	3198	928
775	3201	924
776	3206	920
777	3209	915
778	3211	911
779	3214	906
780	3218	902
781	3221	898
782	3224	893
783	3228	889
784	3231	885
785	3235	880
786	3239	876
787	3242	872
788	3247	868
789	3249	863
790	3253	859
791	3256	855
792	3260	851
793	3263	846
794	3267	842
795	3270	838
796	3273	833
797	3276	829
798	3279	824
799	3284	821
800	3286	816
801	3290	812
802	3293	807
803	3297	803
804	3301	799
805	3305	795
806	3308	791
807	3313	787
808	3317	783
809	3320	778
810	3324	774
811	3328	770
812	3334	767
813	3339	763
814	3342	758
815	3346	754
816	3349	750
817	3352	745
818	3354	741
819	3360	737
820	3363	733
821	3366	728
822	3369	724
823	3375	720
824	3378	716
825	3381	712
826	3384	708
827	3389	704
828	3392	699
829	3394	695
830	3399	691
831	3404	687
832	3408	683
833	3412	679
834	3418	675
835	3422	671
836	3425	667
837	3429	662
838	3433	658
839	3436	654
840	3439	650
841	3443	646
842	3446	641
843	3449	637
844	3452	633
845	3455	629
846	3459	624
847	3463	620
848	3465	616
849	3468	612
850	3472	607
851	3475	603
852	3480	599
853	3482	595
854	3486	591
855	3489	586
856	3492	582
857	3494	578
858	3497	574
859	3500	569
860	3503	565
861	3506	561
862	3509	557
863	3512	552
864	3515	548
865	3518	544
866	3521	540
867	3524	535
868	3526	531
869	3535	528
870	3542	524
871	3545	520
872	3550	516
873	3553	512
874	3556	508
875	3560	504
876	3564	499
877	3567	495
878	3570	491
879	3573	487
880	3579	483
881	3582	479
882	3586	475
883	3590	471
884	3594	467
885	3598	462
886	3602	458
887	3605	454
888	3609	450
889	3612	446
890	3615	442
891	3618	438
892	3624	434
893	3626	430
894	3629	425
895	3632	421
896	3636	417
897	3639	413
898	3642	409
899	3644	404
900	3648	400
901	3652	396
902	3655	392
903	3659	388
904	3662	384
905	3665	380
906	3668	376
907	3671	371
908	3674	367
909	3677	363
910	3680	359
911	3682	355
912	3685	351
913	3689	347
914	3691	342
915	3695	338
916	3698	334
917	3701	330
918	3704	326
919	3707	322
920	3710	318
921	3713	314
922	3716	310
923	3719	305
924	3722	301
925	3725	297
926	3728	293
927	3732	289
928	3735	285
929	3738	281
930	3741	277
931	3744	273
932	3747	269
933	3750	265
934	3753	260
935	3756	256
936	3763	253
937	3769	249
938	3775	245
939	3779	241
940	3782	237
941	3788	233
942	3792	229
943	3815	226
944	3844	223
945	3867	220
946	3873	216
947	3889	213
948	3896	209
949	3903	205
950	3908	201
951	3912	197
952	3917	193
953	3921	189
954	3925	184
955	3929	180
956	3933	176
957	3937	172
958	3941	168
959	3944	164
960	3948	160
961	3952	156
962	3955	151
963	3959	147
964	3964	143
965	3967	139
966	3973	135
967	3977	131
968	3981	127
969	3985	123
970	3988	119
971	3995	115
972	3999	110
973	4003	106
974	4008	102
975	4012	98
976	4016	94
977	4020	90
978	4024	86
979	4027	82
980	4031	78
981	4038	74
982	4041	69
983	4044	65
984	4048	61
985	4052	57
986	4056	53
987	4059	49
988	4062	45
989	4067	41
990	4070	36
991	4074	32
992	4078	28
993	4082	24
994	4085	20
995	4088	16
996	4093	12
997	4097	8
998	4101	4
999	4105	0
