iter	Logloss
0	0.6911749526
1	0.6892739883
2	0.6875814453
3	0.685573619
4	0.6837540432
5	0.6815028876
6	0.6796361198
7	0.6780258162
8	0.6762840965
9	0.6749778037
10	0.6737967469
11	0.6725224462
12	0.6706043398
13	0.6688647628
14	0.6669286416
15	0.6651072894
16	0.6636566795
17	0.6618926295
18	0.6602798842
19	0.6583444528
20	0.6567493535
21	0.6552498798
22	0.6541694647
23	0.6530370841
24	0.6515116624
25	0.6501638079
26	0.6487047507
27	0.6469159067
28	0.646088406
29	0.6444851355
30	0.6430857153
31	0.6422980877
32	0.6409717452
33	0.6394124413
34	0.6381574506
35	0.6367010959
36	0.6355306406
37	0.6344241696
38	0.6330902045
39	0.6317240524
40	0.6305640605
41	0.6299186455
42	0.6283893347
43	0.6272454406
44	0.6256906452
45	0.6245701921
46	0.6235229895
47	0.6227641002
48	0.6214780336
49	0.6205772284
50	0.6197576605
51	0.6184580862
52	0.6173148793
53	0.6160968015
54	0.614820361
55	0.6136567862
56	0.6125298381
57	0.6113037605
58	0.610451171
59	0.6099741327
60	0.6091812542
61	0.6078971989
62	0.6066652746
63	0.605613301
64	0.6044847137
65	0.6033434114
66	0.6023828941
67	0.6016440769
68	0.60052067
69	0.5996037993
70	0.5988363682
71	0.5981120328
72	0.5975396471
73	0.5967064553
74	0.5957725844
75	0.5948228851
76	0.5935981019
77	0.5927655819
78	0.5917568184
79	0.5910922623
80	0.5899523912
81	0.5890677131
82	0.5882482941
83	0.5873522061
84	0.5864920427
85	0.5855879892
86	0.5848489119
87	0.5840472865
88	0.5831924285
89	0.5822643551
90	0.5812779993
91	0.5802979052
92	0.5794455162
93	0.5784326566
94	0.5776934655
95	0.5771525801
96	0.5763822193
97	0.5753139457
98	0.5749902783
99	0.5743502538
100	0.5734714714
101	0.5730942232
102	0.5721842836
103	0.5714254432
104	0.5705812192
105	0.5699774322
106	0.5690264015
107	0.5681899688
108	0.5674052265
109	0.5667073795
110	0.5658754856
111	0.5647881979
112	0.5642793886
113	0.5636775309
114	0.5629343625
115	0.5624153159
116	0.5617664539
117	0.5611533777
118	0.5604621356
119	0.5595334014
120	0.5589232954
121	0.5583976291
122	0.5578277022
123	0.5570269797
124	0.5564605503
125	0.5558017501
126	0.5552496018
127	0.5547444323
128	0.5541123864
129	0.5536288581
130	0.5526897651
131	0.5518266617
132	0.5511540948
133	0.5506951108
134	0.5499905531
135	0.5494732811
136	0.5489373175
137	0.5485168728
138	0.5477346994
139	0.5472179459
140	0.5464542972
141	0.5460201294
142	0.5454524622
143	0.5446673433
144	0.5440715103
145	0.5435176793
146	0.5427700682
147	0.5423664674
148	0.5416997323
149	0.5408885543
150	0.5405471404
151	0.5399212077
152	0.5393461143
153	0.5387927901
154	0.5381905378
155	0.5376601384
156	0.5371929527
157	0.5365272653
158	0.5361247911
159	0.5355361985
160	0.5348030113
161	0.5344500682
162	0.5339779089
163	0.5333576009
164	0.5329703061
165	0.5325181359
166	0.5319411015
167	0.531304513
168	0.5308611393
169	0.5303731201
170	0.5297463933
171	0.5292971933
172	0.5286273187
173	0.5280192147
174	0.5277235472
175	0.5270875354
176	0.526607156
177	0.5261758489
178	0.5256033089
179	0.5251397777
180	0.5245968513
181	0.5243466676
182	0.5239505628
183	0.5233229743
184	0.5227548669
185	0.5222669718
186	0.5218599842
187	0.5215404344
188	0.5209156576
189	0.5203548451
190	0.5199836446
191	0.5194446668
192	0.5191565962
193	0.5186951185
194	0.5181117287
195	0.5176085237
196	0.5170941131
197	0.5165141322
198	0.5159465304
199	0.5154561057
200	0.5149311542
201	0.5145809879
202	0.5139723692
203	0.5136731044
204	0.5132646624
205	0.5124262483
206	0.5119734569
207	0.5119191374
208	0.5111738439
209	0.5107431167
210	0.5102221117
211	0.5097302496
212	0.5092493133
213	0.5088976574
214	0.5085736826
215	0.5082400493
216	0.507804598
217	0.5071990209
218	0.5067729121
219	0.5064363798
220	0.506009888
221	0.5056021556
222	0.5052345946
223	0.5046631466
224	0.5041188571
225	0.5035464336
226	0.503164351
227	0.5023693068
228	0.5014430917
229	0.5006862047
230	0.5002735515
231	0.4999161781
232	0.4996102142
233	0.499516232
234	0.4990688253
235	0.4988236682
236	0.498724004
237	0.4984719079
238	0.4980533803
239	0.4975523395
240	0.4972068437
241	0.4968404355
242	0.496278265
243	0.4959552729
244	0.4957286813
245	0.4952326227
246	0.4947610871
247	0.4944065793
248	0.4937670386
249	0.4932461333
250	0.4927999814
251	0.4923981569
252	0.4919421248
253	0.4915369319
254	0.4911332569
255	0.4906562578
256	0.4901013691
257	0.489588417
258	0.489037355
259	0.4886069041
260	0.4881894421
261	0.4878038562
262	0.4873767491
263	0.4868999549
264	0.48626182
265	0.4859014109
266	0.4854990287
267	0.4851633364
268	0.4845163674
269	0.4840072726
270	0.4836098237
271	0.483165222
272	0.4828024015
273	0.4824844722
274	0.4820631035
275	0.4818434025
276	0.4814013216
277	0.4807893277
278	0.4804940148
279	0.4802049117
280	0.4796747523
281	0.4791832057
282	0.4785725597
283	0.4782488433
284	0.4778083407
285	0.4773196768
286	0.4770280114
287	0.4765635865
288	0.4762886522
289	0.4759021524
290	0.4756545337
291	0.4753035702
292	0.4748627932
293	0.4745513027
294	0.474303356
295	0.4739036038
296	0.4736941426
297	0.473465536
298	0.4730192215
299	0.4725999544
300	0.472126031
301	0.4717242102
302	0.4713168495
303	0.4708661852
304	0.4703087458
305	0.4699355955
306	0.4695099541
307	0.4691916093
308	0.4688798933
309	0.4686711765
310	0.4682419548
311	0.4679894088
312	0.4677380897
313	0.4673424678
314	0.4669424668
315	0.466559903
316	0.4662079124
317	0.4657873458
318	0.4652931478
319	0.4649628055
320	0.4645462824
321	0.4642333583
322	0.4640247217
323	0.4635044816
324	0.4631556255
325	0.4629942509
326	0.4627153121
327	0.4624094747
328	0.4620724778
329	0.4618260068
330	0.4613366187
331	0.460942386
332	0.4607377568
333	0.4604745675
334	0.4602084175
335	0.4600546197
336	0.4596316071
337	0.4592527448
338	0.4590187276
339	0.4586102009
340	0.4582700602
341	0.4580151945
342	0.4576586264
343	0.4571865391
344	0.4568072636
345	0.4565153495
346	0.4562268884
347	0.455657796
348	0.455148646
349	0.4547435199
350	0.45443035
351	0.4540549686
352	0.4538411471
353	0.4535651714
354	0.4531762124
355	0.452767192
356	0.4525983014
357	0.4522018975
358	0.4519050505
359	0.4516022308
360	0.4509771067
361	0.4505813271
362	0.4501579692
363	0.449885738
364	0.4496059393
365	0.4490192698
366	0.4485713241
367	0.448135728
368	0.447772892
369	0.4474863671
370	0.4471844564
371	0.4469054926
372	0.4466585914
373	0.4462336603
374	0.4458688821
375	0.44555581
376	0.4453696354
377	0.4449901768
378	0.4445149039
379	0.4441688282
380	0.4437515876
381	0.4432954447
382	0.4430922786
383	0.4428287352
384	0.4423969486
385	0.4422622575
386	0.4420075667
387	0.4414049474
388	0.4410984809
389	0.4409075754
390	0.4407003341
391	0.4404362266
392	0.4402789802
393	0.4401609918
394	0.4398058057
395	0.4396111014
396	0.4392432298
397	0.4386481397
398	0.4381395386
399	0.4377014074
400	0.4373941933
401	0.4371483317
402	0.4368767299
403	0.4365105116
404	0.436249799
405	0.4361193189
406	0.4358915225
407	0.4354718223
408	0.4350816259
409	0.434820573
410	0.434543102
411	0.4343223987
412	0.4339356773
413	0.4336514995
414	0.433357965
415	0.4329362469
416	0.4325864858
417	0.4325440979
418	0.4320884144
419	0.4318176111
420	0.4313064791
421	0.430977426
422	0.4308587355
423	0.430410793
424	0.4300628724
425	0.4296792913
426	0.4292240679
427	0.4289536583
428	0.428604361
429	0.4284670853
430	0.4282989623
431	0.4278223001
432	0.4273819709
433	0.4271890088
434	0.4270357789
435	0.4265957506
436	0.4263278558
437	0.4259790093
438	0.425699668
439	0.4254063515
440	0.4251061511
441	0.424939092
442	0.4245978949
443	0.4243220586
444	0.4239220746
445	0.4236898527
446	0.4234049155
447	0.423193559
448	0.4229332298
449	0.4228038515
450	0.4226578465
451	0.4225038473
452	0.4222925794
453	0.4221172697
454	0.4217107434
455	0.421400662
456	0.421090735
457	0.4208981261
458	0.4205403161
459	0.4202647017
460	0.4199334425
461	0.4196625015
462	0.4192769806
463	0.4188641151
464	0.418506404
465	0.4183623277
466	0.4181812035
467	0.4179360474
468	0.41761602
469	0.4173829759
470	0.4171251838
471	0.416906724
472	0.4166067144
473	0.416311629
474	0.4160050277
475	0.4158094869
476	0.4155627516
477	0.415200661
478	0.4148909193
479	0.4144377755
480	0.4140700493
481	0.4138339662
482	0.4136394088
483	0.4132841296
484	0.4130347076
485	0.4126727755
486	0.4122013472
487	0.4118412572
488	0.4115823713
489	0.4113782298
490	0.4111964486
491	0.4110659769
492	0.410857358
493	0.4105214061
494	0.41015987
495	0.409898399
496	0.4098973477
497	0.4096618583
498	0.4095219936
499	0.4092290683
500	0.4089641129
501	0.408801211
502	0.4085229642
503	0.4082188577
504	0.4079541919
505	0.4076520602
506	0.4073958591
507	0.4070356915
508	0.406653308
509	0.406432313
510	0.406261238
511	0.4060344006
512	0.405867469
513	0.4055674194
514	0.4054292452
515	0.4052200123
516	0.4050519158
517	0.4046403143
518	0.4043888182
519	0.4040883206
520	0.4037897085
521	0.403470656
522	0.4033892416
523	0.4032137564
524	0.4029918088
525	0.4027293213
526	0.4025434367
527	0.402406547
528	0.4020681013
529	0.4017844167
530	0.4015539376
531	0.4012573359
532	0.4009014473
533	0.400616269
534	0.4005185323
535	0.4002492263
536	0.399796329
537	0.3994034643
538	0.3992250345
539	0.3991008044
540	0.3989521495
541	0.3984646103
542	0.3981637569
543	0.397668914
544	0.397391013
545	0.3969317853
546	0.396799524
547	0.3965798724
548	0.3962845282
549	0.3959686167
550	0.3957000902
551	0.3954352859
552	0.3952131164
553	0.3948989377
554	0.394873338
555	0.3945909723
556	0.3944033496
557	0.3942133967
558	0.3938162017
559	0.3934452058
560	0.3930224191
561	0.3928203277
562	0.3925300256
563	0.3924834157
564	0.3922655154
565	0.3919834318
566	0.3919685711
567	0.3916259497
568	0.3912335884
569	0.3910576828
570	0.3908929825
571	0.3906706694
572	0.390505857
573	0.3903372632
574	0.3901939198
575	0.3900000623
576	0.3896320645
577	0.3893535278
578	0.3893414178
579	0.3890863624
580	0.3889068269
581	0.3884757355
582	0.3882212648
583	0.3880635375
584	0.3878889448
585	0.3876655325
586	0.3872949139
587	0.3870480101
588	0.3869340741
589	0.3865920651
590	0.3862814932
591	0.3859194013
592	0.3857506578
593	0.3855939862
594	0.3853384701
595	0.3852054124
596	0.3849315969
597	0.3848467027
598	0.3848413946
599	0.3845898851
600	0.3844152693
601	0.3841399428
602	0.3836946929
603	0.3834674267
604	0.3833153125
605	0.382882706
606	0.3826685608
607	0.3824204153
608	0.3821640437
609	0.3819278711
610	0.3817651863
611	0.3815139525
612	0.3812960764
613	0.3810510021
614	0.3807679062
615	0.3806597555
616	0.3806185836
617	0.3804365836
618	0.3800920052
619	0.3799492027
620	0.3796952271
621	0.3794993517
622	0.3793255591
623	0.3790201759
624	0.3788197373
625	0.3784327246
626	0.3782216621
627	0.3780129219
628	0.3777739743
629	0.3774880952
630	0.3773730696
631	0.3770721332
632	0.3766350576
633	0.3763281906
634	0.3760624323
635	0.3759785826
636	0.3756655381
637	0.3754431643
638	0.3753202044
639	0.3750707735
640	0.3749646728
641	0.3746988664
642	0.374459522
643	0.3741885053
644	0.3740040021
645	0.3736471846
646	0.3733960441
647	0.373170341
648	0.373169638
649	0.3728119019
650	0.3726003433
651	0.3722879262
652	0.3721154185
653	0.3719568266
654	0.3719258793
655	0.3716232306
656	0.3713655595
657	0.3710723667
658	0.3707784852
659	0.3706137692
660	0.3704287693
661	0.3701151603
662	0.3698514182
663	0.3696414288
